TIME,USDJPY,EURJPY,GBPJPY,AUDJPY,NZDJPY
2016-03-14 15:53:10,113.76,126.959,163.406,85.718,76.494
2016-03-14 15:53:16,113.765,126.956,163.412,85.718,76.499
2016-03-14 15:53:22,113.766,126.952,163.413,85.72,76.501
2016-03-14 15:53:28,113.767,126.948,163.412,85.72,76.501
2016-03-14 15:53:36,113.767,126.948,163.413,85.721,76.501
2016-03-14 15:53:42,113.767,126.948,163.414,85.718,76.494
2016-03-14 15:53:49,113.766,126.946,163.409,85.699,76.471
2016-03-14 15:53:55,113.767,126.948,163.41,85.699,76.451
2016-03-14 15:54:01,113.767,126.948,163.411,85.701,76.45
2016-03-14 15:54:08,113.767,126.949,163.411,85.702,76.446
2016-03-14 15:54:15,113.767,126.957,163.409,85.703,76.453
2016-03-14 15:54:21,113.764,126.953,163.414,85.705,76.466
2016-03-14 15:54:27,113.764,126.952,163.413,85.706,76.468
2016-03-14 15:54:33,113.763,126.952,163.412,85.696,76.468
2016-03-14 15:54:40,113.764,126.954,163.413,85.693,76.467
2016-03-14 15:54:46,113.764,126.952,163.413,85.693,76.466
2016-03-14 15:54:52,113.766,126.952,163.417,85.696,76.468
2016-03-14 15:54:58,113.766,126.952,163.416,85.698,76.468
2016-03-14 15:55:04,113.766,126.953,163.411,85.699,76.467
2016-03-14 15:55:09,113.765,126.955,163.411,85.701,76.467
2016-03-14 15:55:15,113.757,126.949,163.402,85.703,76.461
2016-03-14 15:55:22,113.755,126.945,163.399,85.702,76.459
2016-03-14 15:55:27,113.76,126.95,163.404,85.705,76.46
2016-03-14 15:55:33,113.76,126.95,163.404,85.705,76.46
2016-03-14 15:55:40,113.76,126.95,163.403,85.706,76.461
2016-03-14 15:55:47,113.76,126.95,163.402,85.706,76.463
2016-03-14 15:55:53,113.76,126.951,163.402,85.718,76.463
2016-03-14 15:55:58,113.76,126.952,163.403,85.724,76.462
2016-03-14 15:56:04,113.76,126.951,163.405,85.722,76.462
2016-03-14 15:56:11,113.767,126.959,163.415,85.728,76.465
2016-03-14 15:56:17,113.767,126.958,163.418,85.731,76.466
2016-03-14 15:56:23,113.767,126.959,163.421,85.731,76.465
2016-03-14 15:56:30,113.773,126.967,163.434,85.744,76.471
2016-03-14 15:56:36,113.771,126.965,163.433,85.748,76.472
2016-03-14 15:56:43,113.771,126.964,163.436,85.755,76.473
2016-03-14 15:56:49,113.769,126.966,163.444,85.749,76.469
